2019-11-13 19:09:19,712 p=3105 u=yd |  PLAY [centos7] ***********************************************************************************************************
2019-11-13 19:09:19,794 p=3105 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:09:26,000 p=3105 u=yd |  ok: [centos7]
2019-11-13 19:09:26,076 p=3105 u=yd |  TASK [nginx_tags : Stop nginx CentOS] ************************************************************************************
2019-11-13 19:09:28,741 p=3105 u=yd |  ok: [centos7]
2019-11-13 19:09:28,784 p=3105 u=yd |  PLAY [yd-ubuntu] *********************************************************************************************************
2019-11-13 19:09:28,856 p=3105 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:09:32,286 p=3105 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:09:32,346 p=3105 u=yd |  TASK [nginx_tags : Stop nginx CentOS] ************************************************************************************
2019-11-13 19:09:32,433 p=3105 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:09:32,439 p=3105 u=yd |  PLAY RECAP ***************************************************************************************************************
2019-11-13 19:09:32,442 p=3105 u=yd |  centos7                    : ok=4    changed=0    unreachable=0    failed=0   
2019-11-13 19:09:32,443 p=3105 u=yd |  yd-ubuntu                  : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:09:32,444 p=3105 u=yd |  ydBSD                      : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:09:56,021 p=3219 u=yd |  PLAY [Install nginx on different VM's] ***********************************************************************************
2019-11-13 19:09:56,072 p=3219 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:10:02,229 p=3219 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:10:03,158 p=3219 u=yd |  ok: [centos7]
2019-11-13 19:10:04,556 p=3219 u=yd |  ok: [ydBSD]
2019-11-13 19:10:04,601 p=3219 u=yd |  TASK [nginx_tags : Start nginx CentOS] ***********************************************************************************
2019-11-13 19:10:04,766 p=3219 u=yd |  skipping: [ydBSD]
2019-11-13 19:10:04,870 p=3219 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:10:09,415 p=3219 u=yd |  changed: [centos7]
2019-11-13 19:10:09,464 p=3219 u=yd |  PLAY [ydBSD] *************************************************************************************************************
2019-11-13 19:10:09,521 p=3219 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:10:13,883 p=3219 u=yd |  ok: [ydBSD]
2019-11-13 19:10:13,935 p=3219 u=yd |  TASK [nginx_tags : Start nginx CentOS] ***********************************************************************************
2019-11-13 19:10:14,011 p=3219 u=yd |  skipping: [ydBSD]
2019-11-13 19:10:14,058 p=3219 u=yd |  PLAY [centos7] ***********************************************************************************************************
2019-11-13 19:10:14,131 p=3219 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:10:17,867 p=3219 u=yd |  ok: [centos7]
2019-11-13 19:10:17,939 p=3219 u=yd |  TASK [nginx_tags : Start nginx CentOS] ***********************************************************************************
2019-11-13 19:10:20,713 p=3219 u=yd |  ok: [centos7]
2019-11-13 19:10:20,760 p=3219 u=yd |  PLAY [yd-ubuntu] *********************************************************************************************************
2019-11-13 19:10:20,834 p=3219 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:10:22,938 p=3219 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:10:22,995 p=3219 u=yd |  TASK [nginx_tags : Start nginx CentOS] ***********************************************************************************
2019-11-13 19:10:23,078 p=3219 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:10:23,084 p=3219 u=yd |  PLAY RECAP ***************************************************************************************************************
2019-11-13 19:10:23,085 p=3219 u=yd |  centos7                    : ok=4    changed=1    unreachable=0    failed=0   
2019-11-13 19:10:23,086 p=3219 u=yd |  yd-ubuntu                  : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:10:23,087 p=3219 u=yd |  ydBSD                      : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:13:47,833 p=3329 u=yd |  PLAY [Install nginx on different VM's] ***********************************************************************************
2019-11-13 19:13:47,887 p=3329 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:13:56,032 p=3329 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:13:58,676 p=3329 u=yd |  ok: [ydBSD]
2019-11-13 19:13:59,290 p=3329 u=yd |  ok: [centos7]
2019-11-13 19:13:59,343 p=3329 u=yd |  TASK [nginx_tags : Start nginx FreeBSD] **********************************************************************************
2019-11-13 19:13:59,573 p=3329 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:13:59,647 p=3329 u=yd |  skipping: [centos7]
2019-11-13 19:14:02,951 p=3329 u=yd |  changed: [ydBSD]
2019-11-13 19:14:02,995 p=3329 u=yd |  PLAY [ydBSD] *************************************************************************************************************
2019-11-13 19:14:03,053 p=3329 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:14:07,890 p=3329 u=yd |  ok: [ydBSD]
2019-11-13 19:14:07,937 p=3329 u=yd |  TASK [nginx_tags : Start nginx FreeBSD] **********************************************************************************
2019-11-13 19:14:10,466 p=3329 u=yd |  ok: [ydBSD]
2019-11-13 19:14:10,500 p=3329 u=yd |  PLAY [centos7] ***********************************************************************************************************
2019-11-13 19:14:10,572 p=3329 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:14:16,866 p=3329 u=yd |  ok: [centos7]
2019-11-13 19:14:16,937 p=3329 u=yd |  TASK [nginx_tags : Start nginx FreeBSD] **********************************************************************************
2019-11-13 19:14:17,009 p=3329 u=yd |  skipping: [centos7]
2019-11-13 19:14:17,051 p=3329 u=yd |  PLAY [yd-ubuntu] *********************************************************************************************************
2019-11-13 19:14:17,132 p=3329 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:14:20,743 p=3329 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:14:20,803 p=3329 u=yd |  TASK [nginx_tags : Start nginx FreeBSD] **********************************************************************************
2019-11-13 19:14:20,899 p=3329 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:14:20,906 p=3329 u=yd |  PLAY RECAP ***************************************************************************************************************
2019-11-13 19:14:20,907 p=3329 u=yd |  centos7                    : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:14:20,908 p=3329 u=yd |  yd-ubuntu                  : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:14:20,909 p=3329 u=yd |  ydBSD                      : ok=4    changed=1    unreachable=0    failed=0   
2019-11-13 19:18:38,298 p=3516 u=yd |  PLAY [Install nginx on different VM's] ***********************************************************************************
2019-11-13 19:18:38,349 p=3516 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:18:46,024 p=3516 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:18:48,368 p=3516 u=yd |  ok: [ydBSD]
2019-11-13 19:18:49,223 p=3516 u=yd |  ok: [centos7]
2019-11-13 19:18:49,288 p=3516 u=yd |  TASK [nginx_tags : ReStart nginx CentOS] *********************************************************************************
2019-11-13 19:18:49,476 p=3516 u=yd |  skipping: [ydBSD]
2019-11-13 19:18:49,480 p=3516 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:18:54,217 p=3516 u=yd |  changed: [centos7]
2019-11-13 19:18:54,264 p=3516 u=yd |  PLAY [ydBSD] *************************************************************************************************************
2019-11-13 19:18:54,323 p=3516 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:18:59,244 p=3516 u=yd |  ok: [ydBSD]
2019-11-13 19:18:59,287 p=3516 u=yd |  TASK [nginx_tags : ReStart nginx CentOS] *********************************************************************************
2019-11-13 19:18:59,376 p=3516 u=yd |  skipping: [ydBSD]
2019-11-13 19:18:59,411 p=3516 u=yd |  PLAY [centos7] ***********************************************************************************************************
2019-11-13 19:18:59,482 p=3516 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:19:05,934 p=3516 u=yd |  ok: [centos7]
2019-11-13 19:19:06,003 p=3516 u=yd |  TASK [nginx_tags : ReStart nginx CentOS] *********************************************************************************
2019-11-13 19:19:09,489 p=3516 u=yd |  changed: [centos7]
2019-11-13 19:19:09,525 p=3516 u=yd |  PLAY [yd-ubuntu] *********************************************************************************************************
2019-11-13 19:19:09,597 p=3516 u=yd |  TASK [Gathering Facts] ***************************************************************************************************
2019-11-13 19:19:13,113 p=3516 u=yd |  ok: [yd-ubuntu]
2019-11-13 19:19:13,171 p=3516 u=yd |  TASK [nginx_tags : ReStart nginx CentOS] *********************************************************************************
2019-11-13 19:19:13,246 p=3516 u=yd |  skipping: [yd-ubuntu]
2019-11-13 19:19:13,254 p=3516 u=yd |  PLAY RECAP ***************************************************************************************************************
2019-11-13 19:19:13,256 p=3516 u=yd |  centos7                    : ok=4    changed=2    unreachable=0    failed=0   
2019-11-13 19:19:13,257 p=3516 u=yd |  yd-ubuntu                  : ok=2    changed=0    unreachable=0    failed=0   
2019-11-13 19:19:13,258 p=3516 u=yd |  ydBSD                      : ok=2    changed=0    unreachable=0    failed=0   
